Cipher,Status,Value
TLS_AES_128_CCM_8_SHA256,Recommended,4869
TLS_AES_128_CCM_SHA256,Recommended,4868
TLS_AES_128_GCM_SHA256,Recommended,4865
TLS_AES_256_GCM_SHA384,Recommended,4866
TLS_CHACHA20_POLY1305_SHA256,Recommended,4867
TLS_DHE_DSS_WITH_AES_128_GCM_SHA256,Recommended,162
TLS_DHE_DSS_WITH_AES_256_GCM_SHA384,Recommended,163
TLS_DHE_DSS_WITH_ARIA_128_GCM_SHA256,Recommended,49238
TLS_DHE_DSS_WITH_ARIA_256_GCM_SHA384,Recommended,49239
TLS_DHE_DSS_WITH_CAMELLIA_128_GCM_SHA256,Recommended,49280
TLS_DHE_DSS_WITH_CAMELLIA_256_GCM_SHA384,Recommended,49281
TLS_DHE_PSK_WITH_AES_128_CCM,Recommended,49318
TLS_DHE_PSK_WITH_AES_128_GCM_SHA256,Recommended,170
TLS_DHE_PSK_WITH_AES_256_CCM,Recommended,49319
TLS_DHE_PSK_WITH_AES_256_GCM_SHA384,Recommended,171
TLS_DHE_PSK_WITH_ARIA_128_GCM_SHA256,Recommended,49260
TLS_DHE_PSK_WITH_ARIA_256_GCM_SHA384,Recommended,49261
TLS_DHE_PSK_WITH_CAMELLIA_128_GCM_SHA256,Recommended,49296
TLS_DHE_PSK_WITH_CAMELLIA_256_GCM_SHA384,Recommended,49297
TLS_DHE_PSK_WITH_CHACHA20_POLY1305_SHA256,Recommended,52397
TLS_ECDHE_ECDSA_WITH_AES_128_CCM,Recommended,49324
TLS_ECDHE_ECDSA_WITH_AES_128_CCM_8,Recommended,49326
TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,Recommended,49195
TLS_ECDHE_ECDSA_WITH_AES_256_CCM,Recommended,49325
TLS_ECDHE_ECDSA_WITH_AES_256_CCM_8,Recommended,49327
TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,Recommended,49196
TLS_ECDHE_ECDSA_WITH_ARIA_128_GCM_SHA256,Recommended,49244
TLS_ECDHE_ECDSA_WITH_ARIA_256_GCM_SHA384,Recommended,49245
TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_GCM_SHA256,Recommended,49286
TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_GCM_SHA384,Recommended,49287
TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,Recommended,52393
TLS_ECDHE_PSK_WITH_AES_128_CCM_8_SHA256,Recommended,53251
TLS_ECDHE_PSK_WITH_AES_128_CCM_SHA256,Recommended,53253
TLS_ECDHE_PSK_WITH_AES_128_GCM_SHA256,Recommended,53249
TLS_ECDHE_PSK_WITH_AES_256_GCM_SHA384,Recommended,53250
TLS_ECDHE_PSK_WITH_CHACHA20_POLY1305_SHA256,Recommended,52396
TLS_DHE_RSA_WITH_AES_128_CCM,Secure,49310
TLS_DHE_RSA_WITH_AES_128_CCM_8,Secure,49314
TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,Secure,158
TLS_DHE_RSA_WITH_AES_256_CCM,Secure,49311
TLS_DHE_RSA_WITH_AES_256_CCM_8,Secure,49315
TLS_DHE_RSA_WITH_AES_256_GCM_SHA384,Secure,159
TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256,Secure,49234
TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384,Secure,49235
TLS_DHE_RSA_WITH_CAMELLIA_128_GCM_SHA256,Secure,49276
TLS_DHE_RSA_WITH_CAMELLIA_256_GCM_SHA384,Secure,49277
TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256,Secure,52394
TLS_ECCPWD_WITH_AES_128_CCM_SHA256,Secure,49330
TLS_ECCPWD_WITH_AES_128_GCM_SHA256,Secure,49328
TLS_ECCPWD_WITH_AES_256_CCM_SHA384,Secure,49331
TLS_ECCPWD_WITH_AES_256_GCM_SHA384,Secure,49329
TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,Secure,49199
TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Secure,49200
TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256,Secure,49248
TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384,Secure,49249
TLS_ECDHE_RSA_WITH_CAMELLIA_128_GCM_SHA256,Secure,49290
TLS_ECDHE_RSA_WITH_CAMELLIA_256_GCM_SHA384,Secure,49291
TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,Secure,52392
TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA,Weak,13
TLS_DH_DSS_WITH_AES_128_CBC_SHA,Weak,48
TLS_DH_DSS_WITH_AES_128_CBC_SHA256,Weak,62
TLS_DH_DSS_WITH_AES_128_GCM_SHA256,Weak,164
TLS_DH_DSS_WITH_AES_256_CBC_SHA,Weak,54
TLS_DH_DSS_WITH_AES_256_CBC_SHA256,Weak,104
